wP,wF,wD,S_no_RL,S_RL,equilibrium_pairs,defender_value
0.3,0.25,0.45,0.530003584678213,0.26463197320341053,dRID:AD,-0.5646319732034106
0.3,0.3,0.4,0.4898931863806337,0.2352284206252538,dRID:AD,-0.5352284206252538
0.3,0.35,0.35,0.4497827880830545,0.20582486804709704,dRID:AD,-0.5058248680470971
0.3,0.4,0.3,0.40967238978547527,0.17642131546894033,dRID:AD,-0.4764213154689404
0.3,0.45,0.25,0.3695619914878961,0.1470177628907836,dRID:AD,-0.44701776289078365
0.3,0.5,0.2,0.3294515931903169,0.1176142103126269,dRID:AD,-0.4176142103126269
0.3,0.55,0.15,0.2893411948927377,0.08821065773447016,dRID:A0,-0.30000000000000004
0.3,0.6,0.1,0.24923079659515845,0.05880710515631345,dRID:A0,-0.30000000000000004
0.3,0.65,0.05,0.20912039829757922,0.029403552578156723,dRID:A0,-0.30000000000000004
0.3,0.7,0.0,0.16901,0.0,dRID:A0,-0.30000000000000004
0.35,0.0,0.65,0.6864801778685299,0.3822461835160374,dRID:AD,-0.6822461835160374
0.35,0.05,0.6,0.6463697795709505,0.35284263093788065,dRID:AD,-0.6528426309378808
0.35,0.1,0.55,0.6062593812733714,0.32343907835972396,dRID:AD,-0.623439078359724
0.35,0.15,0.5,0.5661489829757922,0.2940355257815672,dRID:AD,-0.5940355257815673
0.35,0.2,0.45,0.526038584678213,0.26463197320341053,dRID:AD,-0.5646319732034106
